M_h_inv_Msun,hmf_press_schechter_z0,hmf_sheth_tormen_z0,cumulative_press_schechter_z0,cumulative_sheth_tormen_z0
100000000.0,17.403944813193775,15.044966492958283,19.968619507707288,16.67680480752699
122633068.41775644,14.481273524705193,12.442003095252291,16.715904324024088,13.872769332984204
150388694.6955407,12.119734169560042,10.349121403463617,14.002248713720057,11.54777234144499
184426270.8585533,10.144994588023938,8.609465714377299,11.730951069686002,9.613744996050144
226167594.92228645,8.493365759884616,7.16317933599108,9.829591102188381,8.004725998642195
277356261.41984177,7.111764361680122,5.9606420984629045,8.23766084937173,6.665922143030637
340130493.8279246,5.955903733805177,4.960685200059069,6.904585379131197,5.551801902315472
417112461.20565164,4.988743592887261,4.129073489710677,5.788086186234761,4.6245259529114175
511517809.92931455,4.179317629710595,3.437351907016707,4.85282233990771,3.8526502043019737
627289985.8196256,3.501823622574061,2.8619395836425188,4.069244052484622,3.210038920886057
769264957.487913,2.9346483230930644,2.3832023439126537,3.4126385431493653,2.674964874739319
943373221.6299773,2.459742360734481,1.9848376408685293,2.862339144284994,2.229366860296828
1156887528.3162832,2.062028817063351,1.6533062286475844,2.4010585091236534,1.8582279306714589
1418726674.116599,1.7289024719225847,1.3773549421013846,2.014333236199052,1.549060293736155
1739828052.9303622,1.4498246759867637,1.1476309770467192,1.6900609057034826,1.291478239545324
2133604526.501411,1.2159844028350717,0.9563610013878421,1.4181130214019424,1.0768431512082528
2616504698.7488236,1.0200138500128082,0.7970835885466449,1.1900115421944844,0.897968546023317
3208699997.370444,0.8557506423639257,0.664426797188071,0.9986586845565164,0.7488751017692618
3934927263.095845,0.7180399839480632,0.5539240510273868,0.8381111665218443,0.6245871555163318
4825522042.741279,0.6025695001762125,0.46186128300385293,0.7033914830871724,0.5209635784609113
5917685748.18883,0.5057310216379386,0.3851497749737294,0.5903301297921884,0.4345572161197589
7257039612.324202,0.42450424047832136,0.32121986864991237,0.49543379477520166,0.36249814345609443
8899530352.885223,0.3563581128110108,0.267931653338851,0.4157754776831127,0.30239687393506454
10913767146.51274,0.2991797608986642,0.22350926686933603,0.3489019197636293,0.25226338179132707
13383887531.73759,0.2511964503336039,0.18647219492323722,0.29275624624050445,0.21043983485276754
16413071953.751266,0.21092032239621905,0.15558590949866366,0.24561420608372314,0.17554537127518727
20127853758.499386,0.17711039752802188,0.12982671038295787,0.20602992596189323,0.14642949844453804
24683404670.686512,0.14872407257735443,0.1083401610549134,0.17279048826861623,0.12213331860450578
30270016537.634556,0.12488777408883557,0.09041487875714266,0.14487845082683784,0.10185766833361501
37121050090.663574,0.10486984078916367,0.07545876840147613,0.12144012669304267,0.08493635623946358
45522682755.0731,0.08805634242686128,0.06297822519583901,0.10175909710664903,0.07081394671773808
55825862688.62701,0.07393332607954765,0.0525625971986608,0.08523400235061503,0.05902725034466868
68460968385.74672,0.06206874391190117,0.043868971970387326,0.0713599873325739,0.04918995125834768
83955786199.95103,0.05210035353144629,0.036611689874699364,0.05971322509855224,0.040979856285743146
102957556731.25127,0.04372515915259339,0.030553280724177154,0.04993775181220099,0.03412813843443611
126260010987.48578,0.036687983573927774,0.025495116836993813,0.04173454468523751,0.02841045847890514
154836525658.5496,0.03077467883584215,0.021271598354171684,0.03485245832075041,0.02363963323376389
189880782446.52612,0.025806106888046385,0.017745052618188192,0.029080467711231253,0.019659417332798308
232856629849.81964,0.021631083686889045,0.014800108474521411,0.024241245084018932,0.016339379234898685
285559230199.01117,0.018123079708646853,0.012340816504061016,0.02018579313380961,0.013570644900339985
350190046143.172,0.0151758930441499,0.010287163095612534,0.01678885624831441,0.011262290852393924
429448798878.92725,0.012700136361211782,0.008572260345918388,0.013945131512083153,0.00933837951725142
526646239348.4281,0.010620737447329035,0.007140300535832818,0.011566093064551575,0.00773548990197565
645842443019.6991,0.008874504207263136,0.005944626552197983,0.009577319838429623,0.006400653785578817
792016405019.254,0.0074084420965219375,0.0049463624478526865,0.007916243344734553,0.005289628453703195
971274019847.1168,0.006178048996613656,0.00411307577457413,0.0065302410472658666,0.0043654455941271
1191103133283.008,0.005145791270918919,0.003417600946808403,0.005375059144935066,0.0035972166845594368
1460686320364.9858,0.00428015057440855,0.0028372756995527306,0.0044134880546606615,0.002959136304363282
1791284454622.0022,0.0035546471867367586,0.0023531855304525615,0.0036142347652932307,0.00242964041463027
2196707090793.235,0.0029470296656830194,0.0019495410161598605,0.0029509774906164884,0.001990705237173196
2693889309590.164,0.0024384319902307733,0.0016130505821012006,0.0024015889710305056,0.0016272736413119858
3303599120128.346,0.002013091036572979,0.0013326779741023459,0.0019474745790148884,0.0013267702575737016
4051304969235.378,0.0016578238563683249,0.0010992520776447385,0.0015729925703379627,0.0010786811361148485
4968239594734.388,0.001361431468821023,0.000905037420975727,0.0012649884809324693,0.0008742170231339845
6092704661368.687,0.0011144818420805104,0.0007435624976461749,0.001012412483662901,0.0007060379650421498
7471670675868.066,0.0009090716502482397,0.000609440029066681,0.0008059831878136291,0.0005680137616146454
9162739011886.73,0.0007385574781426473,0.0004981722223253712,0.0006379031632015415,0.0004550226210316664
11236548001387.516,0.0005973161218033855,0.0004059779135776253,0.0005016263374957177,0.00036278731487146733
13779723598335.54,0.0004806323579203861,0.0003297081621733864,0.0003916612950717143,0.0002877375772889815
16898497868124.621,0.0003845306288402488,0.00026672659095805154,0.00030340319523451713,0.00022689332158943378
20723146452190.297,0.00030566040817903747,0.00021482696100241823,0.00023299455503128445,0.00017776847214919685
25413430367026.39,0.00024120248207881064,0.00017216665882177637,0.00017720728684688248,0.00013828998999326672
31165269449294.367,0.00018877473851500564,0.00013720012454088425,0.00013334390729457585,0.00010673047476878097
38218926206331.15,0.00014637649048366858,0.0001086398852964121,9.91540366202925e-05,8.165153303846449e-05
46869041923141.92,0.0001123122959222207,8.540324313533665e-05,7.276434925877068e-05,6.18565602253372e-05
57476944248353.586,8.515688817520566e-05,6.658800949027854e-05,5.26198733258652e-05,4.635143650426963e-05
70485740364518.89,6.370460770832152e-05,5.1437666829147234e-05,3.743402630437542e-05,3.431125207271573e-05
86438826205982.61,4.6932927619010905e-05,3.9315165645755046e-05,2.6147530247462426e-05,2.5053259449767028e-05
106002584880688.25,3.398190117583963e-05,2.9689727844178858e-05,1.789314448735916e-05,1.801384505954586e-05
129994222441324.22,2.4124216077070558e-05,2.2115523230658793e-05,1.1965549830471991e-05,1.2729022325076783e-05
159415903745600.28,1.6746034378707965e-05,1.621813705522364e-05,7.796242196770197e-06,8.818480533056427e-06
195496614309125.94,1.1330845530402904e-05,1.1683117935187486e-05,4.932028045152993e-06,5.972182452567667e-06
239743496780107.84,7.446134049740454e-06,8.246337061931946e-06,3.016527077375515e-06,3.939113706269945e-06
294004806433471.4,4.73255460043101e-06,5.6861870492848654e-06,1.7741393016368826e-06,2.517811451308708e-06
360547115425049.9,2.895229431014489e-06,3.817528781453493e-06,9.960041584489655e-07,1.5483063829582807e-06
442149990737448.7,1.6952980215862914e-06,2.485523189725996e-06,5.277094713010584e-07,9.053114806517471e-07
542222100650159.2,9.439487618715679e-07,1.562142687003808e-06,2.584712934386671e-07,4.923958745488928e-07
664943599666503.2,4.960521430457138e-07,9.427456937003384e-07,1.1157210152143124e-07,2.3686403584532648e-07
815440739518518.6,2.438564834178906e-07,5.429004280881044e-07,3.609160775997574e-08,8.530842638670492e-08
1000000000000000.0,1.0993680268519347e-07,2.9334795143422884e-07,1e-300,1e-300
